date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-01-20,0.0,0.0,0.0,0.0,,,0.0,0.0,
2020-01-21,0.0,0.0,0.0,0.0,,,0.0,0.0,
2020-01-22,0.0,0.0,0.0,0.0,,,0.0,0.0,
2020-01-23,0.0,0.0,0.0,0.0,,,0.0,0.0,
2020-01-24,0.0,0.0,0.0,0.0,,,0.0,0.0,
2020-01-25,0.0,0.0,0.0,0.0,,,0.0,0.0,
2020-01-26,0.0,0.0,0.0,0.0,,,0.0,0.0,
2020-01-27,0.0,0.0,0.0,0.0,,,0.0,0.0,
2020-01-28,0.0,0.0,0.0,0.0,,,0.0,0.0,
2020-01-29,0.0,0.0,0.0,0.0,,,0.0,0.0,
2020-01-30,0.0,0.0,0.0,0.0,,,0.0,0.0,
2020-01-31,3.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-01,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-02,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-03,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-04,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-05,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-06,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-07,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-08,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-09,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-10,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-11,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-12,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-13,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-14,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-15,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-16,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-17,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-18,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-19,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-20,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-21,0.0,3.0,0.0,0.0,,,0.013581277296584824,0.0,
2020-02-22,14.0,17.0,0.0,0.0,,,0.076960571347314,0.0,
2020-02-23,62.0,79.0,2.0,2.0,,,0.35764030214340037,0.009054184864389882,
2020-02-24,53.0,132.0,0.0,2.0,,,0.5975762010497322,0.009054184864389882,
2020-02-25,97.0,229.0,4.0,6.0,,,1.0367041669726416,0.027162554593169647,
2020-02-26,93.0,322.0,5.0,11.0,,,1.457723763166771,0.04979801675414435,
2020-02-27,78.0,400.0,1.0,12.0,,,1.8108369728779765,0.054325109186339295,
2020-02-28,250.0,650.0,5.0,17.0,,,2.9426100809267117,0.076960571347314,
2020-02-29,238.0,888.0,4.0,21.0,,,4.0200580797891075,0.09506894107609376,
2020-03-01,240.0,1128.0,8.0,29.0,,,5.1065602635158935,0.1312856805336533,
2020-03-02,561.0,1689.0,6.0,35.0,,,7.646259117977255,0.15844823512682293,
2020-03-03,347.0,2036.0,17.0,52.0,,,9.217160191948901,0.23540880647413695,
2020-03-04,466.0,2502.0,28.0,80.0,,,11.326785265351743,0.36216739457559527,
2020-03-05,587.0,3089.0,27.0,107.0,,,13.984188523050173,0.4843988902448587,
2020-03-06,769.0,3858.0,41.0,148.0,,,17.465522603408083,0.6700096799648513,
2020-03-07,778.0,4636.0,49.0,197.0,,,20.987600515655746,0.8918372091424034,
2020-03-08,1247.0,5883.0,36.0,233.0,,,26.63288477860284,1.0548125367014214,
2020-03-09,1492.0,7375.0,133.0,366.0,,,33.38730668743769,1.6569158301833484,
2020-03-10,1797.0,9172.0,98.0,464.0,,,41.522491788092,2.100570888538453,
2020-03-11,977.0,10149.0,167.0,631.0,,,45.945461094346456,2.8565953247150078,
2020-03-12,2313.0,12462.0,196.0,827.0,,,56.41662589001336,3.743905441425216,
2020-03-13,2651.0,15113.0,189.0,1016.0,,,68.41794792776214,4.59952591111006,
2020-03-14,2547.0,17660.0,252.0,1268.0,,,79.94845235256265,5.740353204023186,
